nombre_limpio;recuento;longitud;stop_w
silvia;40056;6.0;False
silvina;21089;7.0;False
silvio;11930;6.0;False
simon;11648;5.0;False
sixto;6646;5.0;False
sofia;40849;5.0;False
sofía;5256;5.0;False
sol;19840;3.0;False
solange;23468;7.0;False
soledad;57140;7.0;False
sonia;21931;5.0;False
soraya;5519;6.0;False
stefania;10399;8.0;False
stella;8294;6.0;False
susana;46849;6.0;False
tadeo;5938;5.0;False
tamara;23593;6.0;False
tania;11190;5.0;False
tatiana;18687;7.0;False
teodoro;6362;7.0;False
teresa;44688;6.0;False
teresita;16666;8.0;False
thiago;15254;6.0;False
thomas;7166;6.0;False
tiago;6065;5.0;False
tiziana;8299;7.0;False
tiziano;10546;7.0;False
tobias;9784;6.0;False
tomas;29660;5.0;False
tomasa;6084;6.0;False
tomás;6832;5.0;False
transito;7839;8.0;False
trinidad;14220;8.0;False
ubaldo;5824;6.0;False
ulises;14948;6.0;False
uma;5140;3.0;False
uriel;16248;5.0;False
valentin;21074;8.0;False
valentina;32450;9.0;False
valentino;9707;9.0;False
valeria;30502;7.0;False
valle;86277;5.0;False
vanesa;30298;6.0;False
vanessa;6892;7.0;False
vanina;16436;6.0;False
veronica;37057;8.0;False
verónica;5156;8.0;False
vicenta;8634;7.0;False
vicente;23923;7.0;False
victor;40582;6.0;False
victoria;50130;8.0;False
victorio;5580;8.0;False
vilma;13450;5.0;False
violeta;12328;7.0;False
virginia;27988;8.0;False
viviana;29210;7.0;False
walter;36589;6.0;False
wanda;5927;5.0;False
william;7849;7.0;False
wilson;6848;6.0;False
xavier;5848;6.0;False
ximena;11149;6.0;False
xiomara;11724;7.0;False
yael;13986;4.0;False
yair;6938;4.0;False
yamil;12683;5.0;False
yamila;24995;6.0;False
yamile;5171;6.0;False
yanel;5744;5.0;False
yanet;12683;5.0;False
yanina;25492;6.0;False
yasmin;10758;6.0;False
yazmin;9465;6.0;False
yesica;14532;6.0;False
yoel;7349;4.0;False
yohana;7205;6.0;False
yolanda;29107;7.0;False
yuliana;7323;7.0;False
zaira;7202;5.0;False
zoe;13548;3.0;False
zulema;17956;6.0;False
zulma;13619;5.0;False
zunilda;8222;7.0;False
